track_id,track_name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,liked
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],1,1,False,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.6609999999999999,150.184,184867,4.0,2000,2000-10-24,0
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],2,1,False,0.4920000000000001,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.5379999999999999,95.136,157333,4.0,2000,2000-10-24,1
60a0Rd6pjrkxjPbaKzXjfq,In the End,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],8,1,False,0.556,0.8640000000000001,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4.0,2000,2000-10-24,1
0Tr5G2mE56eLUGvCaXRM8I,No Good,A/B,4he4SQup02hEIQdwhZlZlk,['KALEO'],['7jdFEYD2LTYjfwxOdlVjmc'],1,1,False,0.3779999999999999,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,234240,4.0,2016,2016-06-10,0
2lxq02Zit1kI8S0THAYkAZ,I Don't Know,Blizzard Of Ozz (40th Anniversary Expanded Edition),4qUMByJ3Pk94BFnCmGaUPS,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],1,1,False,0.433,0.911,2,-5.497000000000001,1,0.179,0.3939999999999999,2.32e-06,0.1159999999999999,0.253,135.002,315215,4.0,2020,2020-09-18,0
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),4qUMByJ3Pk94BFnCmGaUPS,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],2,1,False,0.4539999999999999,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4.0,2020,2020-09-18,1
2ov8L95QD25TLpZAZPYWXL,Mr. Crowley,Blizzard Of Ozz (40th Anniversary Expanded Edition),4qUMByJ3Pk94BFnCmGaUPS,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],6,1,False,0.307,0.748,2,-6.513999999999999,0,0.0568,0.212,0.000153,0.368,0.347,108.227,302648,4.0,2020,2020-09-18,0
2nLtzopw4rPReszdYBJU6h,Numb,Meteora,4Gfnly5CzMJQqkUFfoHaP3,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],13,1,False,0.496,0.863,9,-4.1530000000000005,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4.0,2003,2003-03-24,0
2tAeN2TKlQLOoSPXtARzBV,Eruption - 2015 Remaster,Van Halen (Remastered),7DdEbYFPKTZ8KB4z6L4UnQ,['Van Halen'],['2cnMpRsOVqtPMfq7YiFE6K'],2,1,False,0.225,0.6890000000000001,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,102080,4.0,1978,1978-02-10,0
18O00Y7yrkJ0pRXm1n21Og,Eleven (feat. Summer Walker),Eleven (feat. Summer Walker),27JROxwlU2KnOg1Kgp8Wak,"['Khalid', 'Summer Walker']","['6LuN9FCkKOj5PcnpouEgny', '57LYzLEk2LcFghVwuWbcuS']",1,1,False,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4.0,2020,2020-05-01,0
2E7W1X4maFFcjHrVrFA7Vs,Bark at the Moon,Bark At The Moon (Expanded Edition),537qKeG5gbEvKJpQ4Qmszn,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],1,1,False,0.303,0.961,9,-5.332999999999998,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,257120,4.0,1983,1983-12-10,0
1O8d2pWtBclzuY3FctBPVa,Closer,Only By The Night,5CZR6ljD0x9fTiS4mh9wMp,['Kings of Leon'],['2qk9voo8llSGYcZ6xrBzKx'],1,1,False,0.3979999999999999,0.768,11,-4.624,0,0.0392,0.469,2.02e-05,0.106,0.235,108.685,237480,5.0,2008,2008-09-23,0
7nnWIPM5hwE3DaUBkvOIpy,Drive,Make Yourself,2i6nd4FV6y7K9fln6eelmR,['Incubus'],['3YcBF2ttyueytpXtEzn1Za'],8,1,False,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.6659999999999999,90.565,232453,4.0,1999,1999-10-26,0
2Q6k43GvLSKDG1PjtnSQO9,Lounge Fly - 2019 Remaster,Purple (2019 Remaster),57lcTrUlYgfMIPvBUsVU6h,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],3,1,True,0.4639999999999999,0.911,7,-8.639,1,0.0802,0.0236,0.0102,0.0998,0.42,159.341,319400,4.0,1994,1994-06-07,0
6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,Purple (2019 Remaster),57lcTrUlYgfMIPvBUsVU6h,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],4,1,False,0.215,0.927,9,-7.327000000000001,1,0.0452,0.000273,0.0066099999999999,0.126,0.49,170.81400000000005,194853,4.0,1994,1994-06-07,0
0vDSbxxAm67GWHYueykkpc,Still Remains - 2019 Remaster,Purple (2019 Remaster),57lcTrUlYgfMIPvBUsVU6h,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],5,1,False,0.3779999999999999,0.912,2,-6.461,1,0.0433,0.00442,1.77e-06,0.0976,0.531,131.744,213360,4.0,1994,1994-06-07,0
2E6elGQS3KaKR7QdfzQXdP,Big Empty - 2019 Remaster,Purple (2019 Remaster),57lcTrUlYgfMIPvBUsVU6h,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],8,1,False,0.336,0.62,0,-9.976,1,0.0406,0.0293,0.0,0.124,0.283,121.683,294800,4.0,1994,1994-06-07,0
24U1h00cprjT12WiDL1YX8,Unglued - 2019 Remaster,Purple (2019 Remaster),57lcTrUlYgfMIPvBUsVU6h,['Stone Temple Pilots'],['2UazAtjfzqBF0Nho2awK4z'],9,1,False,0.441,0.985,9,-5.005,1,0.0645,0.000541,0.0036799999999999,0.135,0.364,146.02200000000005,154307,4.0,1994,1994-06-07,0
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,Toxicity,6jWde94ln40epKIQCd8XUh,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],6,1,False,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240,4.0,2001,2001-09-04,1
0snQkGI5qnAmohLE7jTsTn,Toxicity,Toxicity,6jWde94ln40epKIQCd8XUh,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],12,1,False,0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,218933,3.0,2001,2001-09-04,1
69QHm3pustz01CJRwdo20z,Hells Bells,Back In Black,6mUdeDZCsExyJLMdAfDuwh,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1,1,False,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,4.0,1980,1980-07-25,1
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,Back In Black,6mUdeDZCsExyJLMdAfDuwh,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],6,1,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4.0,1980,1980-07-25,1
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,Back In Black,6mUdeDZCsExyJLMdAfDuwh,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],7,1,False,0.532,0.767,7,-5.509,1,0.0574,0.0028699999999999,0.000513,0.39,0.755,127.361,210173,4.0,1980,1980-07-25,0
0aGQHMr7bc23Y9Ts84ffop,Around the World,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,['Red Hot Chili Peppers'],['0L8ExT028jH3ddEcZwqJJ5'],1,1,False,0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,238733,4.0,1999,1999-06-08,0
2FtX5tOFUVOyjcGQiuGR8f,"Damn Right, I've Got the Blues","Damn Right, I've Got The Blues",7IxnFL0kaVSqs9iy9qSqPj,['Buddy Guy'],['2gCsNOpiBaMNh20jQ5prf0'],1,1,False,0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653,3.0,1991,1991,0
3FR2w9O5i9q3unY3gyjq6E,Through The Mists Of Time,POWER UP,3bTNxJYk2bwdWBMtrjBxb0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],4,1,False,0.57,0.753,9,-5.98,1,0.0365,1.62e-06,0.627,0.133,0.477,119.99,212227,4.0,2020,2020-11-13,0
